cell_id,presence
1888844,1
1892460,1
1892461,1
1892462,1
1896076,1
1896077,1
1896078,1
1896079,1
1899692,1
1899693,1
1899694,1
1899695,1
1899696,1
1899697,1
1899698,1
1903308,1
1903309,1
1903310,1
1903311,1
1903312,1
1903313,1
1903314,1
1903315,1
1906924,1
1906925,1
1906926,1
1906927,1
1906928,1
1906929,1
1906930,1
1906931,1
1910541,1
1910542,1
1910543,1
1910544,1
1910545,1
1910546,1
1910547,1
1914157,1
1914158,1
1914159,1
1914160,1
1914161,1
1914162,1
1914163,1
1917774,1
1917775,1
1917776,1
1917777,1
1917778,1
1917779,1
1921391,1
1921392,1
1921393,1
1921394,1
1925008,1
1925009,1
1925010,1
1928624,1
1928625,1
1928626,1
1928627,1
1932241,1
1932242,1
1932243,1
1935857,1
1935858,1
1935859,1
1939474,1
1939475,1
1939476,1
1943091,1
1943092,1
1946707,1
1946708,1
1946709,1
1950323,1
1950324,1
1950325,1
1950326,1
1953940,1
1953941,1
1953942,1
