cell_id,presence
1376339,1
1376340,1
1376341,1
1376342,1
1376343,1
1376344,1
1379956,1
1379957,1
1379958,1
1379959,1
1379960,1
1379961,1
1379962,1
1379963,1
1383572,1
1383573,1
1383574,1
1383575,1
1383576,1
1383577,1
1383578,1
1383579,1
1383580,1
1383581,1
1387188,1
1387189,1
1387190,1
1387191,1
1387192,1
1387193,1
1387194,1
1387195,1
1387196,1
1387197,1
1387198,1
1387199,1
1390805,1
1390806,1
1390807,1
1390808,1
1390809,1
1390810,1
1390811,1
1390812,1
1390813,1
1390814,1
1390815,1
1390816,1
1390817,1
1394420,1
1394421,1
1394422,1
1394423,1
1394424,1
1394425,1
1394426,1
1394427,1
1394428,1
1394429,1
1394430,1
1394431,1
1394432,1
1394433,1
1394434,1
1398033,1
1398034,1
1398035,1
1398036,1
1398037,1
1398038,1
1398039,1
1398040,1
1398041,1
1398042,1
1398043,1
1398044,1
1398045,1
1398046,1
1398047,1
1398048,1
1398049,1
1398050,1
1398051,1
1401648,1
1401649,1
1401650,1
1401651,1
1401652,1
1401653,1
1401654,1
1401655,1
1401656,1
1401657,1
1401658,1
1401659,1
1401660,1
1401661,1
1401662,1
1401663,1
1401664,1
1401665,1
1401666,1
1401667,1
1401668,1
1401669,1
1405265,1
1405266,1
1405267,1
1405268,1
1405269,1
1405270,1
1405271,1
1405272,1
1405273,1
1405274,1
1405275,1
1405276,1
1405277,1
1405278,1
1405279,1
1405280,1
1405281,1
1405282,1
1405283,1
1405284,1
1405285,1
1405286,1
1408880,1
1408881,1
1408882,1
1408883,1
1408884,1
1408885,1
1408886,1
1408887,1
1408888,1
1408889,1
1408890,1
1408891,1
1408892,1
1408893,1
1408894,1
1408895,1
1408896,1
1408897,1
1408898,1
1408899,1
1408900,1
1408901,1
1408902,1
1408903,1
1412495,1
1412496,1
1412497,1
1412498,1
1412499,1
1412500,1
1412501,1
1412502,1
1412503,1
1412504,1
1412505,1
1412506,1
1412507,1
1412508,1
1412509,1
1412510,1
1412511,1
1412512,1
1412513,1
1412514,1
1412515,1
1412516,1
1412517,1
1412518,1
1412519,1
1412520,1
1416112,1
1416113,1
1416114,1
1416115,1
1416116,1
1416117,1
1416118,1
1416119,1
1416120,1
1416121,1
1416122,1
1416123,1
1416124,1
1416125,1
1416126,1
1416127,1
1416128,1
1416129,1
1416130,1
1416131,1
1416132,1
1416133,1
1416134,1
1416135,1
1416136,1
1416137,1
1416138,1
1419729,1
1419730,1
1419731,1
1419732,1
1419733,1
1419734,1
1419735,1
1419736,1
1419737,1
1419738,1
1419739,1
1419740,1
1419741,1
1419742,1
1419743,1
1419744,1
1419745,1
1419746,1
1419747,1
1419748,1
1419749,1
1419750,1
1419751,1
1419753,1
1419754,1
1423333,1
1423336,1
1423345,1
1423346,1
1423347,1
1423348,1
1423349,1
1423350,1
1423351,1
1423352,1
1423353,1
1423354,1
1423355,1
1423356,1
1423357,1
1423358,1
1423359,1
1423360,1
1423361,1
1423362,1
1423363,1
1423364,1
1423365,1
1423366,1
1423367,1
1423370,1
1423371,1
1426949,1
1426950,1
1426951,1
1426952,1
1426953,1
1426955,1
1426956,1
1426957,1
1426961,1
1426962,1
1426963,1
1426964,1
1426965,1
1426966,1
1426967,1
1426968,1
1426969,1
1426970,1
1426971,1
1426972,1
1426973,1
1426974,1
1426975,1
1426976,1
1426977,1
1426978,1
1426979,1
1426980,1
1426981,1
1426982,1
1426983,1
1426984,1
1426987,1
1430562,1
1430564,1
1430565,1
1430566,1
1430567,1
1430568,1
1430569,1
1430570,1
1430571,1
1430572,1
1430573,1
1430574,1
1430575,1
1430576,1
1430577,1
1430578,1
1430579,1
1430580,1
1430581,1
1430582,1
1430583,1
1430584,1
1430585,1
1430586,1
1430587,1
1430588,1
1430589,1
1430590,1
1430591,1
1430592,1
1430593,1
1430594,1
1430595,1
1430596,1
1430597,1
1430598,1
1430599,1
1430600,1
1430601,1
1430604,1
1430605,1
1434174,1
1434175,1
1434178,1
1434179,1
1434180,1
1434181,1
1434182,1
1434183,1
1434184,1
1434185,1
1434186,1
1434187,1
1434188,1
1434189,1
1434190,1
1434191,1
1434192,1
1434193,1
1434194,1
1434195,1
1434196,1
1434197,1
1434198,1
1434199,1
1434200,1
1434201,1
1434202,1
1434203,1
1434204,1
1434205,1
1434206,1
1434207,1
1434208,1
1434209,1
1434210,1
1434211,1
1434212,1
1434213,1
1434214,1
1434215,1
1434216,1
1434217,1
1434218,1
1434221,1
1434222,1
1434223,1
1437791,1
1437792,1
1437793,1
1437794,1
1437795,1
1437796,1
1437797,1
1437798,1
1437799,1
1437800,1
1437801,1
1437802,1
1437803,1
1437804,1
1437805,1
1437806,1
1437807,1
1437808,1
1437809,1
1437810,1
1437811,1
1437812,1
1437813,1
1437814,1
1437815,1
1437816,1
1437817,1
1437818,1
1437819,1
1437820,1
1437821,1
1437822,1
1437823,1
1437824,1
1437825,1
1437826,1
1437827,1
1437828,1
1437829,1
1437830,1
1437831,1
1437832,1
1437833,1
1437838,1
1437839,1
1437840,1
1441406,1
1441407,1
1441408,1
1441409,1
1441410,1
1441411,1
1441412,1
1441413,1
1441414,1
1441415,1
1441416,1
1441417,1
1441418,1
1441419,1
1441420,1
1441421,1
1441422,1
1441423,1
1441424,1
1441425,1
1441426,1
1441427,1
1441428,1
1441429,1
1441430,1
1441431,1
1441432,1
1441433,1
1441434,1
1441435,1
1441436,1
1441437,1
1441438,1
1441439,1
1441440,1
1441441,1
1441442,1
1441443,1
1441444,1
1441445,1
1441446,1
1441447,1
1441455,1
1441456,1
1441457,1
1441458,1
1445022,1
1445023,1
1445024,1
1445025,1
1445026,1
1445027,1
1445028,1
1445029,1
1445030,1
1445031,1
1445032,1
1445033,1
1445034,1
1445035,1
1445036,1
1445037,1
1445038,1
1445039,1
1445040,1
1445041,1
1445042,1
1445043,1
1445044,1
1445045,1
1445046,1
1445047,1
1445048,1
1445049,1
1445050,1
1445051,1
1445052,1
1445053,1
1445054,1
1445055,1
1445056,1
1445057,1
1445058,1
1445059,1
1445060,1
1445061,1
1445062,1
1445063,1
1445064,1
1445073,1
1445074,1
1445075,1
1445079,1
1445080,1
1445081,1
1445137,6
1445138,6
1448639,1
1448640,1
1448641,1
1448642,1
1448643,1
1448644,1
1448645,1
1448646,1
1448647,1
1448648,1
1448649,1
1448650,1
1448651,1
1448652,1
1448653,1
1448654,1
1448655,1
1448656,1
1448657,1
1448658,1
1448659,1
1448660,1
1448661,1
1448662,1
1448663,1
1448664,1
1448665,1
1448666,1
1448667,1
1448668,1
1448669,1
1448670,1
1448671,1
1448672,1
1448673,1
1448674,1
1448675,1
1448676,1
1448677,1
1448678,1
1448679,1
1448680,1
1448690,1
1448691,1
1448692,1
1448696,1
1448697,1
1448698,1
1448751,6
1448752,6
1448753,6
1448754,6
1448755,6
1448756,6
1448757,6
1448758,6
1448759,6
1448760,6
1452255,1
1452256,1
1452257,1
1452258,1
1452259,1
1452260,1
1452261,1
1452262,1
1452263,1
1452264,1
1452265,1
1452266,1
1452267,1
1452268,1
1452269,1
1452270,1
1452271,1
1452272,1
1452273,1
1452274,1
1452275,1
1452276,1
1452277,1
1452278,1
1452279,1
1452280,1
1452281,1
1452282,1
1452283,1
1452284,1
1452285,1
1452286,1
1452287,1
1452288,1
1452289,1
1452290,1
1452291,1
1452292,1
1452293,1
1452294,1
1452295,1
1452296,1
1452297,1
1452307,1
1452308,1
1452309,1
1452310,1
1452313,1
1452314,1
1452315,1
1452366,6
1452367,6
1452368,6
1452369,6
1452370,6
1452371,6
1452372,6
1452373,6
1452374,6
1452375,6
1452376,6
1452377,6
1452378,6
1455872,1
1455873,1
1455874,1
1455875,1
1455876,1
1455877,1
1455878,1
1455879,1
1455880,1
1455881,1
1455882,1
1455883,1
1455884,1
1455885,1
1455886,1
1455887,1
1455888,1
1455889,1
1455890,1
1455891,1
1455892,1
1455893,1
1455894,1
1455895,1
1455896,1
1455897,1
1455898,1
1455899,1
1455900,1
1455901,1
1455902,1
1455903,1
1455904,1
1455905,1
1455906,1
1455907,1
1455908,1
1455909,1
1455910,1
1455911,1
1455912,1
1455913,1
1455914,1
1455924,1
1455925,1
1455926,1
1455927,1
1455930,1
1455931,1
1455932,1
1455933,1
1455983,6
1455984,6
1455985,6
1455986,6
1455987,6
1455988,6
1455989,6
1455990,6
1455991,6
1455992,6
1455993,6
1455994,6
1455995,6
1455996,6
1459490,1
1459491,1
1459492,1
1459493,1
1459494,1
1459495,1
1459496,1
1459497,1
1459498,1
1459499,1
1459500,1
1459501,1
1459502,1
1459503,1
1459504,1
1459505,1
1459506,1
1459507,1
1459508,1
1459509,1
1459510,1
1459511,1
1459512,1
1459513,1
1459514,1
1459515,1
1459516,1
1459517,1
1459518,1
1459519,1
1459520,1
1459521,1
1459522,1
1459523,1
1459524,1
1459525,1
1459526,1
1459527,1
1459528,1
1459529,1
1459530,1
1459531,1
1459541,1
1459542,1
1459543,1
1459544,1
1459545,1
1459546,1
1459547,1
1459548,1
1459549,1
1459550,1
1459551,1
1459601,6
1459602,6
1459603,6
1459604,6
1459605,6
1459606,6
1459607,6
1459608,6
1459609,6
1459610,6
1459611,6
1459612,6
1459613,6
1459614,6
1463107,1
1463108,1
1463109,1
1463110,1
1463111,1
1463112,1
1463113,1
1463114,1
1463115,1
1463116,1
1463117,1
1463118,1
1463119,1
1463120,1
1463121,1
1463122,1
1463123,1
1463124,1
1463125,1
1463126,1
1463127,1
1463128,1
1463129,1
1463130,1
1463131,1
1463132,1
1463133,1
1463134,1
1463135,1
1463136,1
1463137,1
1463138,1
1463139,1
1463140,1
1463141,1
1463142,1
1463143,1
1463144,1
1463145,1
1463146,1
1463147,1
1463148,1
1463149,1
1463158,1
1463159,1
1463160,1
1463161,1
1463162,1
1463163,1
1463164,1
1463165,1
1463166,1
1463167,1
1463168,1
1463169,1
1463170,1
1463171,1
1463172,1
1463173,1
1463218,6
1463219,6
1463220,6
1463221,6
1463222,6
1463223,6
1463224,6
1463225,6
1463226,6
1463227,6
1463228,6
1463229,6
1463230,6
1463231,6
1466724,1
1466725,1
1466726,1
1466727,1
1466728,1
1466729,1
1466730,1
1466731,1
1466732,1
1466733,1
1466734,1
1466735,1
1466736,1
1466737,1
1466738,1
1466739,1
1466740,1
1466741,1
1466742,1
1466743,1
1466744,1
1466745,1
1466746,1
1466747,1
1466748,1
1466749,1
1466750,1
1466751,1
1466752,1
1466753,1
1466754,1
1466755,1
1466756,1
1466757,1
1466758,1
1466759,1
1466760,1
1466761,1
1466762,1
1466763,1
1466764,1
1466765,1
1466766,1
1466775,1
1466776,1
1466777,1
1466778,1
1466779,1
1466780,1
1466781,1
1466782,1
1466783,1
1466784,1
1466785,1
1466786,1
1466787,1
1466788,1
1466789,1
1466790,1
1466791,1
1466834,6
1466835,6
1466836,6
1466837,6
1466838,6
1466839,6
1466840,6
1466841,6
1466842,6
1466843,6
1466844,6
1466845,6
1466846,6
1466847,6
1466848,6
1466849,6
1470339,1
1470340,1
1470341,1
1470342,1
1470343,1
1470344,1
1470345,1
1470346,1
1470347,1
1470348,1
1470349,1
1470350,1
1470351,1
1470352,1
1470353,1
1470354,1
1470355,1
1470356,1
1470357,1
1470358,1
1470359,1
1470360,1
1470361,1
1470362,1
1470363,1
1470364,1
1470365,1
1470366,1
1470367,1
1470368,1
1470369,1
1470370,1
1470371,1
1470372,1
1470373,1
1470374,1
1470375,1
1470376,1
1470377,1
1470378,1
1470379,1
1470380,1
1470381,1
1470382,1
1470392,1
1470393,1
1470394,1
1470395,1
1470396,1
1470397,1
1470398,1
1470399,1
1470400,1
1470401,1
1470402,1
1470403,1
1470404,1
1470405,1
1470406,1
1470407,1
1470408,1
1470409,1
1470452,6
1470453,6
1470454,6
1470455,6
1470456,6
1470457,6
1470458,6
1470459,6
1470460,6
1470461,6
1470462,6
1470463,6
1470464,6
1470465,6
1470466,6
1473957,1
1473958,1
1473959,1
1473960,1
1473961,1
1473962,1
1473963,1
1473964,1
1473965,1
1473966,1
1473967,1
1473968,1
1473969,1
1473970,1
1473971,1
1473972,1
1473973,1
1473974,1
1473975,1
1473976,1
1473977,1
1473978,1
1473979,1
1473980,1
1473981,1
1473982,1
1473983,1
1473984,1
1473985,1
1473986,1
1473987,1
1473988,1
1473989,1
1473990,1
1473991,1
1473992,1
1473993,1
1473994,1
1473995,1
1473996,1
1473997,1
1473998,1
1473999,1
1474000,1
1474001,1
1474008,1
1474009,1
1474010,1
1474011,1
1474012,1
1474013,1
1474014,1
1474015,1
1474016,1
1474017,1
1474018,1
1474019,1
1474020,1
1474021,1
1474022,1
1474023,1
1474024,1
1474025,1
1474026,1
1474027,1
1474028,1
1474069,6
1474070,6
1474071,6
1474072,6
1474073,6
1474074,6
1474075,6
1474076,1
1474077,1
1474078,1
1474079,1
1474080,1
1474081,1
1474082,1
1474083,1
1477574,1
1477575,1
1477576,1
1477577,1
1477578,1
1477579,1
1477580,1
1477581,1
1477582,1
1477583,1
1477584,1
1477585,1
1477586,1
1477587,1
1477588,1
1477589,1
1477590,1
1477591,1
1477592,1
1477593,1
1477594,1
1477595,1
1477596,1
1477597,1
1477598,1
1477599,1
1477600,1
1477601,1
1477602,1
1477603,1
1477604,1
1477605,1
1477606,1
1477607,1
1477608,1
1477609,1
1477610,1
1477611,1
1477612,1
1477613,1
1477614,1
1477615,1
1477616,1
1477617,1
1477625,1
1477626,1
1477627,1
1477628,1
1477629,1
1477630,1
1477631,1
1477632,1
1477633,1
1477634,1
1477635,1
1477636,1
1477637,1
1477638,1
1477639,1
1477640,1
1477641,1
1477642,1
1477643,1
1477644,1
1477645,1
1477646,1
1477687,1
1477688,1
1477689,1
1477690,1
1477691,1
1477692,1
1477693,1
1477694,1
1477695,1
1477696,1
1477697,1
1477698,1
1477699,1
1477700,1
1477701,1
1481191,1
1481192,1
1481193,1
1481194,1
1481195,1
1481196,1
1481197,1
1481198,1
1481199,1
1481200,1
1481201,1
1481202,1
1481203,1
1481204,1
1481205,1
1481206,1
1481207,1
1481208,1
1481209,1
1481210,1
1481211,1
1481212,1
1481213,1
1481214,1
1481215,1
1481216,1
1481217,1
1481218,1
1481219,1
1481220,1
1481221,1
1481222,1
1481223,1
1481224,1
1481225,1
1481226,1
1481227,1
1481228,1
1481229,1
1481230,1
1481231,1
1481232,1
1481233,1
1481234,1
1481235,1
1481242,1
1481243,1
1481244,1
1481245,1
1481246,1
