cell_id,presence
1390810,1
1394424,1
1394425,1
1394426,1
1394427,1
1394428,1
1394429,1
1394430,1
1398040,1
1398041,1
1398042,1
1398043,1
1398044,1
1398045,1
1398046,1
1398047,1
1398048,1
1401655,1
1401656,1
1401657,1
1401658,1
1401659,1
1401660,1
1401661,1
1401662,1
1401663,1
1401664,1
1401665,1
1401666,1
1405271,1
1405272,1
1405273,1
1405274,1
1405275,1
1405276,1
1405277,1
1405278,1
1405279,1
1405280,1
1405281,1
1405282,1
1405283,1
1405284,1
1405285,1
1408886,1
1408887,1
1408888,1
1408889,1
1408890,1
1408891,1
1408892,1
1408893,1
1408894,1
1408895,1
1408896,1
1408897,1
1408898,1
1408899,1
1408900,1
1408901,1
1408902,1
1408903,1
1412497,1
1412498,1
1412499,1
1412500,1
1412501,1
1412502,1
1412503,1
1412504,1
1412505,1
1412506,1
1412507,1
1412508,1
1412509,1
1412510,1
1412511,1
1412512,1
1412513,1
1412514,1
1412515,1
1412516,1
1412517,1
1412518,1
1412519,1
1412520,1
1416113,1
1416114,1
1416115,1
1416116,1
1416117,1
1416118,1
1416119,1
1416120,1
1416121,1
1416122,1
1416123,1
1416124,1
1416125,1
1416126,1
1416127,1
1416128,1
1416129,1
1416130,1
1416131,1
1416132,1
1416133,1
1416134,1
1416135,1
1416136,1
1416137,1
1416138,1
1419729,1
1419730,1
1419731,1
1419732,1
1419733,1
1419734,1
1419735,1
1419736,1
1419737,1
1419738,1
1419739,1
1419740,1
1419741,1
1419742,1
1419743,1
1419744,1
1419745,1
1419746,1
1419747,1
1419748,1
1419749,1
1419750,1
1419751,1
1419752,1
1419753,1
1419754,1
1419755,1
1419756,1
1423346,1
1423347,1
1423348,1
1423349,1
1423350,1
1423351,1
1423352,1
1423353,1
1423354,1
1423355,1
1423356,1
1423357,1
1423358,1
1423359,1
1423360,1
1423361,1
1423362,1
1423363,1
1423364,1
1423365,1
1423366,1
1423367,1
1423368,1
1423369,1
1423370,1
1423371,1
1423372,1
1423373,1
1423374,1
1426963,1
1426964,1
1426965,1
1426966,1
1426967,1
1426968,1
1426969,1
1426970,1
1426971,1
1426972,1
1426973,1
1426974,1
1426975,1
1426976,1
1426977,1
1426978,1
1426979,1
1426980,1
1426981,1
1426982,1
1426983,1
1426984,1
1426985,1
1426986,1
1426987,1
1426989,1
1426990,1
1426991,1
1426992,1
1430560,1
1430561,1
1430562,1
1430563,1
1430564,1
1430565,1
1430566,1
1430567,1
1430568,1
1430579,1
1430580,1
1430581,1
1430582,1
1430583,1
1430584,1
1430585,1
1430586,1
1430587,1
1430588,1
1430589,1
1430590,1
1430591,1
1430592,1
1430593,1
1430594,1
1430595,1
1430596,1
1430597,1
1430598,1
1430599,1
1430600,1
1430601,1
1430603,1
1430604,1
1430605,1
1430606,1
1430607,1
1430608,1
1430609,1
1434176,1
1434177,1
1434178,1
1434179,1
1434180,1
1434181,1
1434182,1
1434183,1
1434184,1
1434185,1
1434186,1
1434196,1
1434197,1
1434198,1
1434199,1
1434200,1
1434201,1
1434202,1
1434203,1
1434204,1
1434205,1
1434206,1
1434207,1
1434208,1
1434209,1
1434210,1
1434211,1
1434212,1
1434213,1
1434214,1
1434215,1
1434216,1
1434217,1
1434218,1
1434221,1
1434222,1
1434223,1
1434224,1
1434225,1
1434226,1
1437792,1
1437793,1
1437794,1
1437795,1
1437796,1
1437797,1
1437798,1
1437799,1
1437800,1
1437801,1
1437802,1
1437803,1
1437804,1
