cell_id,presence
4689339,1
4689340,1
4689341,1
4689342,1
4689343,1
4689344,1
4689345,1
4689346,1
4689347,1
4689348,1
4689349,1
4689350,1
4689351,1
4689352,1
4689353,1
4689354,1
4689355,1
4689356,1
4689357,1
4689358,1
4689359,1
4689360,1
4689361,1
4689362,1
4689363,1
4689364,1
4689365,1
4689366,1
4689367,1
4689368,1
4689369,1
4689370,1
4692952,1
4692953,1
4692954,1
4692955,1
4692956,1
4692957,1
4692958,1
4692959,1
4692960,1
4692961,1
4692962,1
4692963,1
4692964,1
4692965,1
4692966,1
4692967,1
4692968,1
4692969,1
4692970,1
4692971,1
4692972,1
4692973,1
4692974,1
4692975,1
4692976,1
4692977,1
4692978,1
4692979,1
4692980,1
4692981,1
4692982,1
4692983,1
4692984,1
4692985,1
4692986,1
4692987,1
4692988,1
4692989,1
4692990,1
4692991,1
4692992,1
4692993,1
4692994,1
4692995,1
4692996,1
4692997,1
4692998,1
4692999,1
4693000,1
4693001,1
4696564,1
4696565,1
4696566,1
4696567,1
4696568,1
4696569,1
4696570,1
4696571,1
4696572,1
4696573,1
4696574,1
4696575,1
4696576,1
4696577,1
4696578,1
4696579,1
4696580,1
4696581,1
4696582,1
4696583,1
4696584,1
4696585,1
4696586,1
4696587,1
4696588,1
4696589,1
4696590,1
4696591,1
4696592,1
4696593,1
4696594,1
4696595,1
4696596,1
4696597,1
4696598,1
4696599,1
4696600,1
4696601,1
4696602,1
4696603,1
4696604,1
4696605,1
4696606,1
4696607,1
4696608,1
4696609,1
4696610,1
4696611,1
4696612,1
4696613,1
4696614,1
4696615,1
4696616,1
4696617,1
4696618,1
4696619,1
4696620,1
4696621,1
4696622,1
4696623,1
4700177,1
4700178,1
4700179,1
4700180,1
4700181,1
4700182,1
4700183,1
4700184,1
4700185,1
4700186,1
4700187,1
4700188,1
4700189,1
4700190,1
4700191,1
4700192,1
4700193,1
4700194,1
4700195,1
4700196,1
4700197,1
4700198,1
4700199,1
4700200,1
4700201,1
4700202,1
4700203,1
4700204,1
4700205,1
4700206,1
4700207,1
4700208,1
4700209,1
4700210,1
4700211,1
4700212,1
4700213,1
4700214,1
4700215,1
4700216,1
4700217,1
4700218,1
4700219,1
4700220,1
4700221,1
4700222,1
4700223,1
4700224,1
4700225,1
4700226,1
4700227,1
4700228,1
4700229,1
4700230,1
4700231,1
4700232,1
4700233,1
4700234,1
4700235,1
4700236,1
4700237,1
4700238,1
4700239,1
4700240,1
4700241,1
4700242,1
4700243,1
4700244,1
4703792,1
4703793,1
4703794,1
4703795,1
4703796,1
4703797,1
4703798,1
4703799,1
4703800,1
4703801,1
4703802,1
4703803,1
4703804,1
4703805,1
4703806,1
4703807,1
4703808,1
4703809,1
4703810,1
4703811,1
4703812,1
4703813,1
4703814,1
4703815,1
4703816,1
4703817,1
4703818,1
4703819,1
4703820,1
4703821,1
4703822,1
4703823,1
4703824,1
4703825,1
4703826,1
4703827,1
4703828,1
4703829,1
4703830,1
4703831,1
4703832,1
4703833,1
4703834,1
4703835,1
4703836,1
4703837,1
4703838,1
4703839,1
4703840,1
4703841,1
4703842,1
4703843,1
4703844,1
4703845,1
4703846,1
4703847,1
4703848,1
4703849,1
4703850,1
4703851,1
4703852,1
4703853,1
4703854,1
4703855,1
4703856,1
4703857,1
4703858,1
4703859,1
4703860,1
4703861,1
4703862,1
4703863,1
4703864,1
4703865,1
4707407,1
4707408,1
4707409,1
4707410,1
4707411,1
4707412,1
4707413,1
4707414,1
4707415,1
4707416,1
4707417,1
4707418,1
4707419,1
4707420,1
4707421,1
4707422,1
4707423,1
4707424,1
4707425,1
4707426,1
4707427,1
4707428,1
4707429,1
4707430,1
4707431,1
4707432,1
4707433,1
4707434,1
4707435,1
4707436,1
4707437,1
4707438,1
4707439,1
4707440,1
4707441,1
4707442,1
4707443,1
4707444,1
4707445,1
4707446,1
4707447,1
4707448,1
4707449,1
4707450,1
4707451,1
4707452,1
4707453,1
4707454,1
4707455,1
4707456,1
4707457,1
4707458,1
4707459,1
4707460,1
4707461,1
4707462,1
4707463,1
4707464,1
4707465,1
4707466,1
4707467,1
4707468,1
4707469,1
4707470,1
4707471,1
4707472,1
4707473,1
4707474,1
4707475,1
4707476,1
4707477,1
4707478,1
4707479,1
4707480,1
4707481,1
4707482,1
4707483,1
4707484,1
4707485,1
4707486,1
4707487,1
4711022,1
4711023,1
4711024,1
4711025,1
4711026,1
4711027,1
4711028,1
4711029,1
4711030,1
4711031,1
4711032,1
4711033,1
4711034,1
4711035,1
4711036,1
4711037,1
4711038,1
4711039,1
4711040,1
4711041,1
4711042,1
4711043,1
4711044,1
4711045,1
4711046,1
4711047,1
4711048,1
4711049,1
4711050,1
4711051,1
4711052,1
4711053,1
4711054,1
4711055,1
4711056,1
4711057,1
4711058,1
4711059,1
4711060,1
4711061,1
4711062,1
4711063,1
4711064,1
4711065,1
4711066,1
4711067,1
4711068,1
4711069,1
4711070,1
4711071,1
4711072,1
4711073,1
4711074,1
4711075,1
4711076,1
4711077,1
4711078,1
4711079,1
4711080,1
4711081,1
4711082,1
4711083,1
4711084,1
4711085,1
4711086,1
4711087,1
4711088,1
4711089,1
4711090,1
4711091,1
4711092,1
4711093,1
4711094,1
4711095,1
4711096,1
4711097,1
4711098,1
4711099,1
4711100,1
4711101,1
4711102,1
4711103,1
4711104,1
4711105,1
4711106,1
4711107,1
4711108,1
4714636,1
4714637,1
4714638,1
4714639,1
4714640,1
4714641,1
4714642,1
4714643,1
4714644,1
4714645,1
4714646,1
4714647,1
4714648,1
4714649,1
4714650,1
4714651,1
4714652,1
4714653,1
4714654,1
4714655,1
4714656,1
4714657,1
4714658,1
4714659,1
4714660,1
4714661,1
4714662,1
4714663,1
4714664,1
4714665,1
4714666,1
4714667,1
4714668,1
4714669,1
4714670,1
4714671,1
4714672,1
4714673,1
4714674,1
4714675,1
4714676,1
4714677,1
4714678,1
4714679,1
4714680,1
4714681,1
4714682,1
4714683,1
4714684,1
4714685,1
4714686,1
4714687,1
4714688,1
4714689,1
4714690,1
4714691,1
4714692,1
4714693,1
4714694,1
4714695,1
4714696,1
4714697,1
4714698,1
4714699,1
4714700,1
4714701,1
4714702,1
4714703,1
4714704,1
4714705,1
4714706,1
4714707,1
4714708,1
4714709,1
4714710,1
4714711,1
4714712,1
4714713,1
4714714,1
4714715,1
4714716,1
4714717,1
4714718,1
4714719,1
4714720,1
4714721,1
4714722,1
4714723,1
4714724,1
4714725,1
4714726,1
4714727,1
4714728,1
4714729,1
4714730,1
4718251,1
4718252,1
4718253,1
4718254,1
4718255,1
4718256,1
4718257,1
4718258,1
4718259,1
4718260,1
4718261,1
4718262,1
4718263,1
4718264,1
4718265,1
4718266,1
4718267,1
4718268,1
4718269,1
4718270,1
4718271,1
4718272,1
4718273,1
4718274,1
4718275,1
4718276,1
4718277,1
4718278,1
4718279,1
4718280,1
4718281,1
4718282,1
4718283,1
4718284,1
4718285,1
4718286,1
4718287,1
4718288,1
4718289,1
4718290,1
4718291,1
4718292,1
4718293,1
4718294,1
4718295,1
4718296,1
4718297,1
4718298,1
4718299,1
4718300,1
4718301,1
4718302,1
4718303,1
4718304,1
4718305,1
4718306,1
4718307,1
4718308,1
4718309,1
4718310,1
4718311,1
4718312,1
4718313,1
4718314,1
4718315,1
4718316,1
4718317,1
4718318,1
4718319,1
4718320,1
4718321,1
4718322,1
4718323,1
4718324,1
4718325,1
4718326,1
4718327,1
4718328,1
4718329,1
4718330,1
4718331,1
4718332,1
4718333,1
4718334,1
4718335,1
4718336,1
4718337,1
4718338,1
4718339,1
4718340,1
4718341,1
4718342,1
4718343,1
4718344,1
4718345,1
4718346,1
4718347,1
4718348,1
4718349,1
4718350,1
4718351,1
4721866,1
4721867,1
4721868,1
4721869,1
4721870,1
4721871,1
4721872,1
4721873,1
4721874,1
4721875,1
4721876,1
4721877,1
4721878,1
4721879,1
4721880,1
4721881,1
4721882,1
4721883,1
4721884,1
4721885,1
4721886,1
4721887,1
4721888,1
4721889,1
4721890,1
4721891,1
4721892,1
4721893,1
4721894,1
4721895,1
4721896,1
4721897,1
4721898,1
4721899,1
4721900,1
4721901,1
4721902,1
4721903,1
4721904,1
4721905,1
4721906,1
4721907,1
4721908,1
4721909,1
4721910,1
4721911,1
4721912,1
4721913,1
4721914,1
4721915,1
4721916,1
4721917,1
4721918,1
4721919,1
4721920,1
4721921,1
4721922,1
4721923,1
4721924,1
4721925,1
4721926,1
4721927,1
4721928,1
4721929,1
4721930,1
4721931,1
4721932,1
4721933,1
4721934,1
