cell_id,presence
3495018,1
3498634,1
3498635,1
3498636,1
3502251,1
3502252,1
3502253,1
3502254,1
3505867,1
3505868,1
3505869,1
3505870,1
3505871,1
3509484,1
3509485,1
3509486,1
3509487,1
3513101,1
3513102,1
3513103,1
3513104,1
3516718,1
3516719,1
3516720,1
3516721,1
3516722,1
3520336,1
3520337,1
3520338,1
3520339,1
3520340,1
3523953,1
3523954,1
3523955,1
3523956,1
3523957,1
3523958,1
3527571,1
3527572,1
3527573,1
3527574,1
3527575,1
3531190,1
3531191,1
3531192,1
3773569,1
3773570,1
3777184,1
3777185,1
3777186,1
3777187,1
3777188,1
3780800,1
3780801,1
3780802,1
3780803,1
3780804,1
3780805,1
3784416,1
3784417,1
3784418,1
3784419,1
3784420,1
3784421,1
3784422,1
3788032,1
3788033,1
3788034,1
3788035,1
3788036,1
3788037,1
3788038,1
3788039,1
3788040,1
3791649,1
3791650,1
3791651,1
3791652,1
3791653,1
3791654,1
3791655,1
3791656,1
3791657,1
3791658,1
3791659,1
3795265,1
3795266,1
3795267,1
3795268,1
3795269,1
3795270,1
3795271,1
3795272,1
3795273,1
3795274,1
3795275,1
3795276,1
3795277,1
3798882,1
3798883,1
3798884,1
3798885,1
3798886,1
3798887,1
3798888,1
3798889,1
3798890,1
3798891,1
3798892,1
3798893,1
3798894,1
3802499,1
3802500,1
3802501,1
3802502,1
3802503,1
3802504,1
3802505,1
3802506,1
3802507,1
3802508,1
3802509,1
3802510,1
3802511,1
3802512,1
3806116,1
3806117,1
3806118,1
3806119,1
3806120,1
3806121,1
3806122,1
3806123,1
3806124,1
3806125,1
3806126,1
3806127,1
3806128,1
3806129,1
3809733,1
3809734,1
3809735,1
3809736,1
3809737,1
3809738,1
3809739,1
3809740,1
3809741,1
3809742,1
3809743,1
3809744,1
3809745,1
3809746,1
3809747,1
3813350,1
3813351,1
3813352,1
3813353,1
3813354,1
3813355,1
3813356,1
3813357,1
3813358,1
3813359,1
3813360,1
3813361,1
3813362,1
3813363,1
3813364,1
3816967,1
3816968,1
3816969,1
3816970,1
3816971,1
3816972,1
3816973,1
3816974,1
3816975,1
3816976,1
3816977,1
3816978,1
3816979,1
3816980,1
3816981,1
3820585,1
3820586,1
3820587,1
3820588,1
3820589,1
3820590,1
3820591,1
3820592,1
3820593,1
3820594,1
3820595,1
3820596,1
3820597,1
3820598,1
3820599,1
3824202,1
3824203,1
3824204,1
3824205,1
3824206,1
3824207,1
3824208,1
3824209,1
3824210,1
3824211,1
3824212,1
3824213,1
3824214,1
3824215,1
3824216,1
3827820,1
3827821,1
3827822,1
3827823,1
3827824,1
3827825,1
3827826,1
3827827,1
3827828,1
3827829,1
3827830,1
3827831,1
3827832,1
3827833,1
3827834,1
3827835,1
3831437,1
3831438,1
3831439,1
3831440,1
3831441,1
3831442,1
3831443,1
3831444,1
3831445,1
3831446,1
3831447,1
3831448,1
3831449,1
3831450,1
3831451,1
3831452,1
3831453,1
3835055,1
3835056,1
3835057,1
3835058,1
3835059,1
3835060,1
3835061,1
3835062,1
3835063,1
3835064,1
3835065,1
3835066,1
3835067,1
3835068,1
3835069,1
3835070,1
3838673,1
3838674,1
3838675,1
3838676,1
3838677,1
3838678,1
3838679,1
3838680,1
3838681,1
3838682,1
3838683,1
3838684,1
3838685,1
3838686,1
3838687,1
3838688,1
3842290,1
3842291,1
3842292,1
3842293,1
3842294,1
3842295,1
3842296,1
3842297,1
3842298,1
3842299,1
3842300,1
3842301,1
3842302,1
3842303,1
3842304,1
3842305,1
3842306,1
3845908,1
3845909,1
3845910,1
3845911,1
3845912,1
3845913,1
3845914,1
3845915,1
3845916,1
3845917,1
3845918,1
3845919,1
3845920,1
3845921,1
3845922,1
3845923,1
3849526,1
3849527,1
3849528,1
3849529,1
3849530,1
3849531,1
3849532,1
3849533,1
3849534,1
3849535,1
3849536,1
3849537,1
3849538,1
3849539,1
3849540,1
3849541,1
3853143,1
3853144,1
3853145,1
3853146,1
3853147,1
3853148,1
3853149,1
3853150,1
3853151,1
3853152,1
3853153,1
3853154,1
3853155,1
3853156,1
3853157,1
3853158,1
3853159,1
3856761,1
3856762,1
3856763,1
3856764,1
3856765,1
3856766,1
3856767,1
3856768,1
3856769,1
3856770,1
3856771,1
3856772,1
3856773,1
3856774,1
3856775,1
3856776,1
3860379,1
3860380,1
3860381,1
3860382,1
3860383,1
3860384,1
3860385,1
3860386,1
3860387,1
3860388,1
3860389,1
3860390,1
3860391,1
3860392,1
3860393,1
3863996,1
3863997,1
3863998,1
3863999,1
3864000,1
3864001,1
3864002,1
3864003,1
3864004,1
3864005,1
3864006,1
3864007,1
3864008,1
3864009,1
3864010,1
3864011,1
3867614,1
3867615,1
3867616,1
3867617,1
3867618,1
3867619,1
3867620,1
3867621,1
3867622,1
3867623,1
3867624,1
3867625,1
3867626,1
3867627,1
3867628,1
3867629,1
3871231,1
3871232,1
3871233,1
3871234,1
3871235,1
3871236,1
3871237,1
3871238,1
3871239,1
3871240,1
3871241,1
3871242,1
3871243,1
3871244,1
3871245,1
3871246,1
3871247,1
3874849,1
3874850,1
3874851,1
3874852,1
3874853,1
3874854,1
3874855,1
3874856,1
3874857,1
3874858,1
3874859,1
3874860,1
3874861,1
3874862,1
3874863,1
3874864,1
3878467,1
3878468,1
3878469,1
3878470,1
3878471,1
3878472,1
3878473,1
3878474,1
3878475,1
3878476,1
3878477,1
3878478,1
