cell_id,presence
3191078,1
3191079,1
3191080,1
3191081,1
3194694,1
3194695,1
3194696,1
3194697,1
3194698,1
3194699,1
3194700,1
3198310,1
3198311,1
3198312,1
3198313,1
3198314,1
3198315,1
3198316,1
3198317,1
3198318,1
3198319,1
3201927,1
3201928,1
3201929,1
3201930,1
3201931,1
3201932,1
3201933,1
3201934,1
3201935,1
3201936,1
3201937,1
3201938,1
3205544,1
3205545,1
3205546,1
3205547,1
3205548,1
3205549,1
3205550,1
3205551,1
3205552,1
3205553,1
3205554,1
3205555,1
3205556,1
3205557,1
3209161,1
3209162,1
3209163,1
3209164,1
3209165,1
3209166,1
3209167,1
3209168,1
3209169,1
3209170,1
3209171,1
3209172,1
3209173,1
3209174,1
3209175,1
3209176,1
3212778,1
3212779,1
3212780,1
3212781,1
3212782,1
3212783,1
3212784,1
3212785,1
3212786,1
3212787,1
3212788,1
3212789,1
3212790,1
3212791,1
3212792,1
3212793,1
3212794,1
3216396,1
3216397,1
3216398,1
3216399,1
3216400,1
3216401,1
3216402,1
3216403,1
3216404,1
3216405,1
3216406,1
3216407,1
3216408,1
3216409,1
3216410,1
3216411,1
3216412,1
3216413,1
3220013,1
3220014,1
3220015,1
3220016,1
3220017,1
3220018,1
3220019,1
3220020,1
3220021,1
3220022,1
3220023,1
3220024,1
3220025,1
3220026,1
3220027,1
3220028,1
3220029,1
3220030,1
3220031,1
3220032,1
3223631,1
3223632,1
3223633,1
3223634,1
3223635,1
3223636,1
3223637,1
3223638,1
3223639,1
3223640,1
3223641,1
3223642,1
3223643,1
3223644,1
3223645,1
3223646,1
3223647,1
3223648,1
3223649,1
3223650,1
3223651,1
3227248,1
3227249,1
3227250,1
3227251,1
3227252,1
3227253,1
3227254,1
3227255,1
3227256,1
3227257,1
3227258,1
3227259,1
3227260,1
3227261,1
3227262,1
3227263,1
3227264,1
3227265,1
3227266,1
3227267,1
3227268,1
3227269,1
3230866,1
3230867,1
3230868,1
3230869,1
3230870,1
3230871,1
3230872,1
3230873,1
3230874,1
3230875,1
3230876,1
3230877,1
3230878,1
3230879,1
3230880,1
3230881,1
3230882,1
3230883,1
3230884,1
3230885,1
3230886,1
3230887,1
3230888,1
3234484,1
3234485,1
3234486,1
3234487,1
3234488,1
3234489,1
3234490,1
3234491,1
3234492,1
3234493,1
3234494,1
3234495,1
3234496,1
3234497,1
3234498,1
3234499,1
3234500,1
3234501,1
3234502,1
3234503,1
3234504,1
3234505,1
3234506,1
3238101,1
3238102,1
3238103,1
3238104,1
3238105,1
3238106,1
3238107,1
3238108,1
3238109,1
3238110,1
3238111,1
3238112,1
3238113,1
3238114,1
3238115,1
3238116,1
3238117,1
3238118,1
3238119,1
3238120,1
3238121,1
3238122,1
3238123,1
3238124,1
3241719,1
3241720,1
3241721,1
3241722,1
3241723,1
3241724,1
3241725,1
3241726,1
3241727,1
3241728,1
3241729,1
3241730,1
3241731,1
3241732,1
3241733,1
3241734,1
3241735,1
3241736,1
3241737,1
3241738,1
3241739,1
3241740,1
3241741,1
3241742,1
3245336,1
3245337,1
3245338,1
3245339,1
3245340,1
3245341,1
3245342,1
3245343,1
3245344,1
3245345,1
3245346,1
3245347,1
3245348,1
3245349,1
3245350,1
3245351,1
3245352,1
3245353,1
3245354,1
3245355,1
3245356,1
3245357,1
3245358,1
3245359,1
3245360,1
3248954,1
3248955,1
3248956,1
3248957,1
3248958,1
3248959,1
3248960,1
3248961,1
3248962,1
3248963,1
3248964,1
3248965,1
3248966,1
3248967,1
3248968,1
3248969,1
3248970,1
3248971,1
3248972,1
3248973,1
3248974,1
3248975,1
3248976,1
3248977,1
3252571,1
3252572,1
3252573,1
3252574,1
3252575,1
3252576,1
3252577,1
3252578,1
3252579,1
3252580,1
3252581,1
3252582,1
3252583,1
3252584,1
3252585,1
3252586,1
3252587,1
3252588,1
3252589,1
3252590,1
3252591,1
3252592,1
3252593,1
3252594,1
3252595,1
3256187,1
3256188,1
3256189,1
3256190,1
3256191,1
3256192,1
3256193,1
3256194,1
3256195,1
3256196,1
3256197,1
3256198,1
3256199,1
3256200,1
3256201,1
3256202,1
3256203,1
3256204,1
3256205,1
3256206,1
3256207,1
3256208,1
3256209,1
3256210,1
3256211,1
3256212,1
3259803,1
3259804,1
3259805,1
3259806,1
3259807,1
3259808,1
3259809,1
3259810,1
3259811,1
3259812,1
3259813,1
3259814,1
3259815,1
3259816,1
3259817,1
3259818,1
3259819,1
3259820,1
3259821,1
3259822,1
3259823,1
3259824,1
3259825,1
3259826,1
3259827,1
3259828,1
3259829,1
3259830,1
3263420,1
3263421,1
3263422,1
3263423,1
3263424,1
3263425,1
3263426,1
3263427,1
3263428,1
3263429,1
3263430,1
3263431,1
3263432,1
3263433,1
3263434,1
3263435,1
3263437,1
3263438,1
3263439,1
3263440,1
3263441,1
3263442,1
3263443,1
3263444,1
3263445,1
3263446,1
3263447,1
3267036,1
3267037,1
3267038,1
3267039,1
3267040,1
3267041,1
3267042,1
3267043,1
3267044,1
3267045,1
3267046,1
3267047,1
3267048,1
3267049,1
3267050,1
3267051,1
3267052,1
3267053,1
3267054,1
3267055,1
3267056,1
3267057,1
3267058,1
3267059,1
3267060,1
3267061,1
3267062,1
3267063,1
3267064,1
3270653,1
3270654,1
3270655,1
3270656,1
3270657,1
3270658,1
3270659,1
3270660,1
3270661,1
3270662,1
3270663,1
3270664,1
3270665,1
3270666,1
3270667,1
3270668,1
3270669,1
3270670,1
3270671,1
3270672,1
3270673,1
3270674,1
3270675,1
3270676,1
3270677,1
3270678,1
3270679,1
3270680,1
3270681,1
3270682,1
3274269,1
3274270,1
3274271,1
3274272,1
3274273,1
3274274,1
3274275,1
3274276,1
3274277,1
3274278,1
3274280,1
3274281,1
3274282,1
3274283,1
3274284,1
3274285,1
3274286,1
3274287,1
3274288,1
3274289,1
3274290,1
3274291,1
3274292,1
3274293,1
3274294,1
3274295,1
3274296,1
3274297,1
3274298,1
3274299,1
3277886,1
3277887,1
3277888,1
3277889,1
3277890,1
3277891,1
3277892,1
3277893,1
3277897,1
3277898,1
3277899,1
3277900,1
3277901,1
3277902,1
3277903,1
3277904,1
3277905,1
3277906,1
3277907,1
3277908,1
3277909,1
3277910,1
3277911,1
3277912,1
3277913,1
3277914,1
3277915,1
3277916,1
3281503,1
3281504,1
3281505,1
3281506,1
3281507,1
3281508,1
3281509,1
3281510,1
3281511,1
3281515,1
3281516,1
3281517,1
3281518,1
3281519,1
3281520,1
3281521,1
3281522,1
3281523,1
3281524,1
3281525,1
3281526,1
3281527,1
3281528,1
3281529,1
3281530,1
3281531,1
3281532,1
3281533,1
3281534,1
3285120,1
3285121,1
3285122,1
3285123,1
3285124,1
3285125,1
3285126,1
3285127,1
3285128,1
3285129,1
3285132,1
3285133,1
3285134,1
3285135,1
3285136,1
3285137,1
3285138,1
3285139,1
3285140,1
3285141,1
3285142,1
3285143,1
3285144,1
3285145,1
3285146,1
3285147,1
3285148,1
3285149,1
3285150,1
3285151,1
3288737,1
3288738,1
3288739,1
3288740,1
3288741,1
3288742,1
3288743,1
3288744,1
3288745,1
3288746,1
3288749,1
3288750,1
3288751,1
3288754,1
3288755,1
3288756,1
3288757,1
3288758,1
3288759,1
3288760,1
3288761,1
3288762,1
3288763,1
3288764,1
3288765,1
3288766,1
3288767,1
3288768,1
3292354,1
3292355,1
3292356,1
3292357,1
3292358,1
3292359,1
3292360,1
3292361,1
3292363,1
3292366,1
3292367,1
3292368,1
3292372,1
3292373,1
3292374,1
3292375,1
3292376,1
3292377,1
3292378,1
3292379,1
3292380,1
3292381,1
3292382,1
3292383,1
3292384,1
3292385,1
3292386,1
3295971,1
3295972,1
3295973,1
3295974,1
3295975,1
3295976,1
3295977,1
3295981,1
3295984,1
3295985,1
3295986,1
3295987,1
3295989,1
