cell_id,therm_prs
3191078,1
3191079,1
3191080,1
3191081,1
3194694,1
3194695,1
3194696,1
3194697,1
3194698,1
3194699,1
3194700,1
3198310,0.94471
3198311,0.96455
3198312,0.98826
3198313,1
3198314,0.99049
3198315,1
3198316,1
3198317,1
3198318,1
3198319,0.9756
3201927,0.86745
3201928,0.85687
3201929,0.85877
3201930,0.9024
3201931,0.90912
3201932,0.92552
3201933,0.94774
3201934,0.93308
3201935,0.92656
3201936,0.89692
3201937,0.8852
3201938,0.85514
3205544,0.78058
3205545,0.7986
3205546,0.79266
3205547,0.80304
3205548,0.83469
3205549,0.8455
3205550,0.84471
3205551,0.83817
3205552,0.84375
3205553,0.8272
3205554,0.81475
3205555,0.766
3205556,0.71653
3205557,0.69924
3209161,0.69849000000000006
3209162,0.7257
3209163,0.72209
3209164,0.70043
3209165,0.75568
3209166,0.76006
3209167,0.73935
3209168,0.74947
3209169,0.74416
3209170,0.73746
3209171,0.70898
3209172,0.65929
3209173,0.63302
3209174,0.61866
3209175,0.58368
3209176,0.57613
3212778,0.60207
3212779,0.61833
3212780,0.59913
3212781,0.59493
3212782,0.66166
3212783,0.677
3212784,0.66307
3212785,0.67592
3212786,0.66903
3212787,0.62032
3212788,0.59834
3212789,0.57792
3212790,0.55264
3212791,0.54237
3212792,0.52635
3212793,0.50548
3212794,0.52095
3216396,0.54431
3216397,0.52845
3216398,0.52448
3216399,0.55718
3216400,0.59533
3216401,0.55749
3216402,0.54769
3216403,0.56278
3216404,0.51555
3216405,0.52181
3216406,0.51661
3216407,0.48358
3216408,0.47241
3216409,0.48212
3216410,0.44444
3216411,0.4529
3216412,0.45363
3216413,0.45338
3220013,0.43609
3220014,0.439
3220015,0.42628
3220016,0.4529
3220017,0.48311
3220018,0.47698
3220019,0.44755
3220020,0.45438
3220021,0.42972
3220022,0.43815
3220023,0.441
3220024,0.41409
3220025,0.39903
3220026,0.40522
3220027,0.37086
3220028,0.37568
3220029,0.37861
3220030,0.38228
3220031,0.39989
3220032,0.40113
3223631,0.3365
3223632,0.33772
3223633,0.34848
3223634,0.35527
3223635,0.38771
3223636,0.37661
3223637,0.37236
3223638,0.36484
3223639,0.35955
3223640,0.35923
3223641,0.33314
3223642,0.31998
3223643,0.32892
3223644,0.3045
3223645,0.30544
3223646,0.31847
3223647,0.33585
3223648,0.34303
3223649,0.33387
3223650,0.35792
3223651,0.39075
3227248,0.2475
3227249,0.25289
3227250,0.25664
3227251,0.27986
3227252,0.30993
3227253,0.31262
3227254,0.29671
3227255,0.29415
3227256,0.29312
3227257,0.2917
3227258,0.26837
3227259,0.26091
3227260,0.25643
3227261,0.24237
3227262,0.24662
3227263,0.25471
3227264,0.27959
3227265,0.28937
3227266,0.27087
3227267,0.28882
3227268,0.30242
3227269,0.31182
3230866,0.17244
3230867,0.18702
3230868,0.20202
3230869,0.23568
3230870,0.25059
3230871,0.24004
3230872,0.2384
3230873,0.22309
3230874,0.23427
3230875,0.21119
3230876,0.22143
3230877,0.22353
3230878,0.20443
3230879,0.19732
3230880,0.20324
3230881,0.21978
3230882,0.22924
3230883,0.2286
3230884,0.2324
3230885,0.22208
3230886,0.20993
3230887,0.24425
3230888,0.27194
3234484,0.08309
3234485,0.10747
3234486,0.14503
3234487,0.1556
3234488,0.17622
3234489,0.18091
3234490,0.15217
3234491,0.17426
3234492,0.15165
3234493,0.1666
3234494,0.18234
3234495,0.1592
3234496,0.14002
3234497,0.15106
3234498,0.16401
3234499,0.1649
3234500,0.18191
3234501,0.17323
3234502,0.15296
3234503,0.145
3234504,0.17837
3234505,0.22088
3234506,0.23514
3238101,0
3238102,0.03228
3238103,0.05378
3238104,0.05481
3238105,0.09242
3238106,0.11362
3238107,0.09827
3238108,0.11429
3238109,0.09819
3238110,0.09443
3238111,0.10277
3238112,0.10354
3238113,0.0848
3238114,0.08882
3238115,0.11123
3238116,0.11135
3238117,0.11871
3238118,0.10319
3238119,0.09731
3238120,0.10345
3238121,0.11534
3238122,0.13405
3238123,0.14345
3238124,0.16523
3241719,0
3241720,0
3241721,0
3241722,0.00623
3241723,0.04044
3241724,0.04023
3241725,0.05367
3241726,0.0391
3241727,0.02507
3241728,0.01885
3241729,0.02621
3241730,0.02788
3241731,0.02164
3241732,0.05034
3241733,0.06086
3241734,0.06159
3241735,0.04746
3241736,0.04492
3241737,0.048
3241738,0.04215
3241739,0.02978
3241740,0.02975
3241741,0.0704
3241742,0.09149
3245336,0
3245337,0
3245338,0
3245339,0
3245340,0
3245341,0
3245342,0
3245343,0
3245344,0
3245345,0
3245346,0
3245347,0
3245348,0
3245349,0
3245350,0
3245351,0
3245352,0
3245353,0
3245354,0
3245355,0
3245356,0
3245357,0
3245358,0
3245359,0.00122
3245360,0.01361
3248954,0
3248955,0
3248956,0
3248957,0
3248958,0
3248959,0
3248960,0
3248961,0
3248962,0
3248963,0
3248964,0
3248965,0
3248966,0
3248967,0
3248968,0
3248969,0
3248970,0
3248971,0
3248972,0
3248973,0
3248974,0
3248975,0
3248976,0
3248977,0
3252571,0
3252572,0
3252573,0
3252574,0
3252575,0
3252576,0
3252577,0
3252578,0
3252579,0
3252580,0
3252581,0
3252582,0
3252583,0
3252584,0
3252585,0
3252586,0
3252587,0
3252588,0
3252589,0
3252590,0
3252591,0
3252592,0
3252593,0
3252594,0
3252595,0
3256187,0
3256188,0
3256189,0
3256190,0
3256191,0
3256192,0
3256193,0
3256194,0
3256195,0
3256196,0
3256197,0
3256198,0
3256199,0
3256200,0
3256201,0
3256202,0
3256203,0
3256204,0
3256205,0
3256206,0
3256207,0
3256208,0
3256209,0
3256210,0
3256211,0
3256212,0
3259803,0
3259804,0
3259805,0
3259806,0
3259807,0
3259808,0
3259809,0
3259810,0
3259811,0
3259812,0
3259813,0
3259814,0
3259815,0
3259816,0
3259817,0
3259818,0
3259819,0
3259820,0
3259821,0
3259822,0
3259823,0
3259824,0
3259825,0
3259826,0
3259827,0
3259828,0
3259829,0
3259830,0
3263420,0
3263421,0
3263422,0
3263423,0
3263424,0
3263425,0
3263426,0
3263427,0
3263428,0
3263429,0
3263430,0
3263431,0
3263432,0
3263433,0
3263434,0
3263435,0
3263437,0
3263438,0
3263439,0
3263440,0
3263441,0
3263442,0
3263443,0
3263444,0
3263445,0
3263446,0
3263447,0
3267036,0
3267037,0
3267038,0
3267039,0
3267040,0
3267041,0
3267042,0
3267043,0
3267044,0
3267045,0
3267046,0
3267047,0
3267048,0
3267049,0
3267050,0
3267051,0
3267052,0
3267053,0
3267054,0
3267055,0
3267056,0
3267057,0
3267058,0
3267059,0
3267060,0
3267061,0
3267062,0
3267063,0
3267064,0
3270653,0
3270654,0
3270655,0
3270656,0
3270657,0
3270658,0
3270659,0
3270660,0
3270661,0
3270662,0
3270663,0
3270664,0
3270665,0
3270666,0
3270667,0
3270668,0
3270669,0
3270670,0
3270671,0
3270672,0
3270673,0
3270674,0
3270675,0
3270676,0
3270677,0
3270678,0
3270679,0
3270680,0
3270681,0
3270682,0
3274269,0
3274270,0
3274271,0
3274272,0
3274273,0
3274274,0
3274275,0
3274276,0
3274277,0
3274278,0
3274280,0
3274281,0
3274282,0
3274283,0
3274284,0
3274285,0
3274286,0
3274287,0
3274288,0
3274289,0
3274290,0
3274291,0
3274292,0
3274293,0
3274294,0
3274295,0
3274296,0
3274297,0
3274298,0
3274299,0
3277886,0
3277887,0
3277888,0
3277889,0
3277890,0
3277891,0
3277892,0
3277893,0
3277897,0
3277898,0
3277899,0
3277900,0
3277901,0
3277902,0
3277903,0
3277904,0
3277905,0
3277906,0
3277907,0
3277908,0
3277909,0
3277910,0
3277911,0
3277912,0
3277913,0
3277914,0
3277915,0
3277916,0
3281503,0
3281504,0
3281505,0
3281506,0
3281507,0
3281508,0
3281509,0
3281510,0
