cell_id,therm_prs
4473480,1
4473481,0.98958
4473482,0.93884
4473483,0.88424
4477095,1
4477096,1
4477097,0.98885
4477098,0.96867
4477099,0.92678
4477100,0.88436
4480710,1
4480711,1
4480712,1
4480713,0.99447
4480714,0.96462
4480715,0.94269
4480716,0.91115
4480717,0.86847
4484326,1
4484327,1
4484328,1
4484329,0.99473
4484330,0.96825
4484331,0.9388
4484332,0.9147
4484333,0.88494
4484334,0.84068
4487942,1
4487943,1
4487944,1
4487945,0.99635
4487946,0.96412
4487947,0.93811
4487948,0.91025
4487949,0.8882
4487950,0.86094
4487951,0.82627
4491558,1
4491559,1
4491560,1
4491561,1
4491562,0.96593
4491563,0.92949
4491564,0.90464
4491565,0.87893
4491566,0.85957
4491567,0.83869
4495174,1
4495175,1
4495176,1
4495177,1
4495178,0.98516
4495179,0.93232
4495180,0.89442
4495181,0.87001
4495182,0.8459
4495183,0.82924
4495184,0.8127
4498790,1
4498791,1
4498792,1
4498793,1
4498794,1
4498795,0.95381
4498796,0.90094
4498797,0.86579
4498798,0.83928
4498799,0.81606
4498800,0.80262
4498801,0.79175
4502407,1
4502408,1
4502409,1
4502410,1
4502411,0.9743
4502412,0.92062
4502413,0.87141
4502414,0.84065
4502415,0.81267
4502416,0.79021
4502417,0.78116
4502418,0.77793
4506024,1
4506025,1
4506026,1
4506027,0.98762
4506028,0.94046
4506029,0.887
4506030,0.84048
4506031,0.81107
4506032,0.78492
4506033,0.76396
4506034,0.75944
4509641,1
4509642,1
4509643,1
4509644,0.95847
4509645,0.91114
4509646,0.86125
4509647,0.81566
4509648,0.78255
4509649,0.76006
4509650,0.74014
4513258,1
4513259,1
4513260,0.99361
4513261,0.93205
4513262,0.88537
4513263,0.83815
4513264,0.79509
4513265,0.76213
4513266,0.7427
4513267,0.72496
4516875,1
4516876,1
4516877,0.96671
4516878,0.90357
4516879,0.86102
4516880,0.81597
4516881,0.77469
4516882,0.74617
4516883,0.72545
4516884,0.6674
4520492,1
4520493,1
4520494,0.94296
4520495,0.88032
4520496,0.84021
4520497,0.79579
4520498,0.75846
4520499,0.73265
4520500,0.69907
4524109,1
4524110,0.98613
4524111,0.9183
4524112,0.85637
4524113,0.81876
4524114,0.7797
4524115,0.74678
4524116,0.7222
4524117,0.67526
4524118,0.58886
4527726,0.9999
4527727,0.96438
4527728,0.89204
4527729,0.83669
4527730,0.80365
4527731,0.77079
4527732,0.74282
4527733,0.71699
4527734,0.6753
4527735,0.637
4531343,0.98564
4531344,0.93765
4531345,0.87257
4531346,0.83112
4531347,0.80446
4531348,0.76755
4531349,0.73758
4531350,0.7165
4531351,0.68504
4531352,0.64901
4534960,0.97082
4534961,0.91932
4534962,0.86044
4534963,0.82826
4534964,0.7983
4534965,0.75874
4534966,0.73167
4534967,0.71206
4534968,0.67698
4534969,0.61605
4538577,0.95517
4538578,0.90732
4538579,0.86478
4538580,0.83011
4538581,0.78789
4538582,0.74816
4538583,0.72353
4538584,0.70259
4538585,0.66472
4538586,0.62501
4542194,0.94045
4542195,0.89215
4542196,0.84618
4542197,0.81223
4542198,0.77197
4542199,0.73882
4542200,0.71521
4542201,0.68632
4542202,0.65342
4542203,0.62918
4545811,0.92487
4545812,0.87015
4545813,0.83365
4545814,0.79921
4545815,0.76031
4545816,0.72435
4545817,0.69874
4545818,0.66783
4545819,0.64084
4545820,0.61913
4549428,0.9111
4549429,0.8638
4549430,0.81721
4549431,0.78828
4549432,0.74843
4549433,0.71041
4549434,0.6803
4549435,0.64719
4549436,0.61911
4553045,0.898
4553046,0.83804
4553047,0.8044
4553048,0.77953
4553049,0.73124
4553050,0.69622
4553051,0.66088
4553052,0.62278
4553053,0.5757
4556662,0.89117
4556663,0.8506
4556664,0.80947
4556665,0.75603
4556666,0.71152
4556667,0.68372
4556668,0.64787
4556669,0.60627
4556670,0.54846
4560279,0.87766
4560280,0.84249
4560281,0.79722
4560282,0.73487
4560283,0.69504
4560284,0.6641
4560285,0.63147
4560286,0.59455
4560287,0.54768
4563896,0.86286
4563897,0.82804
4563898,0.77856
4563899,0.72141
4563900,0.68448
4563901,0.64603
4563902,0.61169
4563903,0.58311
4563904,0.53984
4567513,0.85255
4567514,0.82214
4567515,0.76587
4567516,0.71341
4567517,0.67437
4567518,0.62907
4567519,0.59136
4567520,0.56262
4567521,0.52085
4571130,0.84983
4571131,0.81314
4571132,0.7476
4571133,0.69936
4571134,0.65772
4571135,0.61093
4571136,0.57557
4571137,0.53756
4571138,0.48062
4574747,0.84281
4574748,0.79313
4574749,0.72701
4574750,0.6764
4574751,0.63344
4574752,0.58863
4574753,0.55434
4574754,0.49717
4578364,0.83046
4578365,0.7736
4578366,0.70826
4578367,0.65844
4578368,0.61014
4578369,0.56708
4578370,0.52648
4578371,0.44271
4581981,0.81423
4581982,0.75362
4581983,0.69675
4581984,0.6414
4581985,0.58998
4581986,0.55379
4581987,0.50434
4585598,0.79615
4585599,0.73726
4585600,0.68637
4585601,0.62255
4585602,0.57068
4585603,0.52953
4585604,0.4882
4589215,0.77961
4589216,0.72905
4589217,0.66977
4589218,0.60183
4589219,0.55443
4589220,0.50829
4592832,0.76275
4592833,0.71469
4592834,0.64021
4592835,0.57714
4592836,0.53159
4592837,0.49857
4596449,0.75388
4596450,0.69248
4596451,0.6136
4596452,0.5572
4596453,0.5203
4600066,0.7401
4600067,0.66637
4600068,0.5974
4600069,0.54228
4600070,0.51669
4603682,0.76495
4603683,0.7079
4603684,0.63033
4603685,0.57342
4603686,0.52021
4607299,0.74437
4607300,0.67112
4607301,0.60359
4607302,0.54204
4607303,0.4993
4610916,0.71602
4610917,0.64509
4610918,0.58183
4610919,0.51783
4614533,0.68588
4614534,0.62379
4614535,0.55286
4614536,0.49644
4618149,0.71139
4618150,0.66152
4618151,0.59591
4618152,0.52853000000000006
4618153,0.48671
4621766,0.69487
4621767,0.6379
4621768,0.56394
4621769,0.5148
4625382,0.70603
4625383,0.6756
4625384,0.6051
4625385,0.53797
4625386,0.49846
4628999,0.68995
4629000,0.64516
4629001,0.57273
4629002,0.51774
4629003,0.47198
4632616,0.66854
4632617,0.61526
4632618,0.55096
4632619,0.49247
4636233,0.64634
4636234,0.58811
4636235,0.52537
4636236,0.46093
4639849,0.65986
4639850,0.62555
4639851,0.56589
