cell_id,therm_prs
5590200,0.06956
5590201,0.07128
5590202,0.07179
5590203,0.07172
5590204,0.07135
5590205,0.07104
5590206,0.06978
5590207,0.06915
5590208,0.06905
5590209,0.06695
5590210,0.06736
5590211,0.06884
5590212,0.06874
5590213,0.06789
5590214,0.06804
5590215,0.06768
5590216,0.0707
5593808,0.06508
5593809,0.06339
5593810,0.062330000000000003
5593811,0.06358
5593812,0.06876
5593813,0.07004
5593814,0.06698
5593815,0.07189
5593816,0.07036
5593817,0.06734
5593818,0.06791
5593819,0.06922
5593820,0.06907
5593821,0.06854
5593822,0.06741
5593823,0.06847
5593824,0.06812
5593825,0.06895
5593826,0.06744
5593827,0.06553
5593828,0.06585
5593829,0.06799
5593830,0.06808
5593831,0.06814
5593832,0.06753
5593833,0.06907
5593834,0.0693
5593835,0.06818
5593836,0.06704
5593837,0.0679
5593838,0.06782
5593839,0.06787
5593840,0.06815
5593841,0.06794
5593842,0.06659
5593843,0.06412
5593844,0.06499
5593845,0.06566
5593846,0.06786
5597397,0.05187
5597398,0.05457
5597399,0.05328
5597400,0.0514
5597401,0.05287
5597402,0.05306
5597403,0.05373
5597404,0.05429
5597405,0.0557
5597406,0.05564
5597407,0.05429
5597408,0.0554
5597409,0.05712
5597410,0.05871
5597411,0.06041
5597412,0.06162
5597413,0.0623
5597414,0.06151
5597415,0.06136
5597416,0.06141
5597417,0.06125
5597418,0.06185
5597419,0.06146
5597420,0.06074
5597421,0.0605
5597422,0.06132
5597423,0.0621
5597424,0.06305
5597425,0.06434
5597426,0.0639
5597427,0.06429
5597428,0.06455
5597429,0.06826
5597430,0.06977
5597431,0.06758
5597432,0.07047
5597433,0.06987
5597434,0.06739
5597435,0.06765
5597436,0.06807
5597437,0.06649
5597438,0.06441
5597439,0.06447
5597440,0.06715
5597441,0.06761
5597442,0.06725
5597443,0.06547
5597444,0.06376
5597445,0.06347
5597446,0.06706
5597447,0.06821
5597448,0.06773
5597449,0.06728
5597450,0.06828
5597451,0.06667
5597452,0.06705
5597453,0.06556
5597454,0.06556
5597455,0.06672
5597456,0.06633
5597457,0.06586
5597458,0.06576
5597459,0.06522
5597460,0.06356
5597461,0.06606
5597462,0.06484
5597463,0.06803
5597464,0.06685
5597465,0.06573
5597466,0.06509
5597467,0.06448
5600994,0.04404
5600995,0.04515
5600996,0.04469
5600997,0.04375
5600998,0.04744
5600999,0.04724
5601000,0.04742
5601001,0.04765
5601002,0.04841
5601003,0.04809
5601004,0.04922
5601005,0.05151
5601006,0.04987
5601007,0.04966
5601008,0.05015
5601009,0.05074
5601010,0.05051
5601011,0.05142
5601012,0.0522
5601013,0.05269
5601014,0.05281
5601015,0.05396
5601016,0.05406
5601017,0.05201
5601018,0.05333
5601019,0.0535
5601020,0.0552
5601021,0.05561
5601022,0.05482
5601023,0.05643
5601024,0.05651
5601025,0.05513
5601026,0.0568
5601027,0.05833
5601028,0.05976
5601029,0.06031
5601030,0.06084
5601031,0.06028
5601032,0.05978
5601033,0.0615
5601034,0.06179
5601035,0.06237
5601036,0.062
5601037,0.06243
5601038,0.06238
5601039,0.06209
5601040,0.0619
5601041,0.06346
5601042,0.0628
5601043,0.06271
5601044,0.06485
5601045,0.06563
5601046,0.06758
5601047,0.0674
5601048,0.06838
5601049,0.06781
5601050,0.06816
5601051,0.06767
5601052,0.06648
5601053,0.06678
5601054,0.06598
5601055,0.06427
5601056,0.06538
5601057,0.06618
5601058,0.06634
5601059,0.06485
5601060,0.06327
5601061,0.06312
5601062,0.06393
5601063,0.06601
5601064,0.06594
5601065,0.06469
5601066,0.06551
5601067,0.06679
5601068,0.06487
5601069,0.06486
5601070,0.0645
5601071,0.06474
5601072,0.0664
5601073,0.06416
5601074,0.0644
5601075,0.06426
5601076,0.06425
5601077,0.06413
5601078,0.06566
5601079,0.06476
5601080,0.06648
5601081,0.0641
5601082,0.0663
5601083,0.06639
5601084,0.06352
5601085,0.06222
5601086,0.06002
5601087,0.0601
5604604,0.042
5604605,0.04277
5604606,0.0433
5604607,0.04402
5604608,0.04481
5604609,0.04382
5604610,0.04511
5604611,0.0466
5604612,0.04755
5604613,0.04661
5604614,0.04418
5604615,0.04545
5604616,0.04696
5604617,0.04725
5604618,0.04894
5604619,0.04966
5604620,0.04884
5604621,0.05127
5604622,0.05154
5604623,0.05069
5604624,0.05064
5604625,0.05098
5604626,0.05096
5604627,0.05205
5604628,0.05288
5604629,0.05209
5604630,0.05283
5604631,0.05173
5604632,0.05204
5604633,0.05371
5604634,0.05318
5604635,0.05394
5604636,0.05444
5604637,0.05621
5604638,0.05647
5604639,0.05459
5604640,0.05632
5604641,0.05613
5604642,0.0545
5604643,0.05575
5604644,0.0571
5604645,0.05777
5604646,0.05864
5604647,0.05912
5604648,0.05867
5604649,0.05924
5604650,0.06073
5604651,0.06204
5604652,0.062330000000000003
5604653,0.06359
5604654,0.0655
5604655,0.06514
5604656,0.06215
5604657,0.06121
5604658,0.06223
5604659,0.06163
5604660,0.06265
5604661,0.06472
5604662,0.06572
5604663,0.06695
5604664,0.06624
5604665,0.06524
5604666,0.06402
5604667,0.06507
5604668,0.06544
5604669,0.06324
5604670,0.06449
5604671,0.06553
5604672,0.06579
5604673,0.06622
5604674,0.06628
5604675,0.06623
5604676,0.06485
5604677,0.06388
5604678,0.06243
5604679,0.06375
5604680,0.06543
5604681,0.06558
5604682,0.0634
5604683,0.06427
5604684,0.06463
5604685,0.06336
5604686,0.0632
5604687,0.06274
5604688,0.06236
5604689,0.06424
5604690,0.06267
5604691,0.0644
5604692,0.06335
5604693,0.06347
5604694,0.06477
5604695,0.06487
5604696,0.06345
5604697,0.06418
5604698,0.06278
5604699,0.0648
5604700,0.06592
5604701,0.06286
5604702,0.06088
5604703,0.05893
5604704,0.05908
5604705,0.05762
5604706,0.05984
5608214,0.04803
5608215,0.04599
5608216,0.04522
5608217,0.04296
5608218,0.04237
5608219,0.04292
5608220,0.04349
5608221,0.04378
5608222,0.04387
5608223,0.04353
5608224,0.04357
5608225,0.04578
5608226,0.04497
5608227,0.04647
5608228,0.04766
5608229,0.04821
5608230,0.04921
5608231,0.04642
5608232,0.04706
5608233,0.04932
5608234,0.0493
5608235,0.05098
5608236,0.04962
5608237,0.05015
5608238,0.05194
5608239,0.05125
5608240,0.05118
5608241,0.05218
5608242,0.051
5608243,0.05155
5608244,0.05239
5608245,0.05312
5608246,0.05295
5608247,0.05325
5608248,0.05084
5608249,0.05069
5608250,0.05236
5608251,0.05279
5608252,0.05261
5608253,0.05403
5608254,0.05547
5608255,0.05612
5608256,0.05413
5608257,0.05545
5608258,0.05472
5608259,0.05493
5608260,0.05574
5608261,0.05454
5608262,0.05626
5608263,0.05724
5608264,0.0582
5608265,0.05745
5608266,0.05884
5608267,0.05992
5608268,0.0599
5608269,0.06131
5608270,0.06463
5608271,0.06702
5608272,0.06441
5608273,0.06167
5608274,0.06048
5608275,0.06079
5608276,0.06174
5608277,0.06348
5608278,0.0645
5608279,0.06553
5608280,0.06861
5608281,0.06763
5608282,0.0651
5608283,0.06481
5608284,0.06431
5608285,0.06383
5608286,0.06241
5608287,0.06293
5608288,0.06342
5608289,0.06392
5608290,0.06421
5608291,0.06479
5608292,0.06665
